Date,Time,value
16-Aug-16,16:00:00,1.27
17-Aug-16,08:00:00,1.27
17-Aug-16,16:00:00,1.27
18-Aug-16,08:00:00,1.28
18-Aug-16,16:00:00,1.28
19-Aug-16,08:00:00,1.27
19-Aug-16,16:00:00,1.27
20-Aug-16,08:00:00,1.27
20-Aug-16,16:00:00,1.27
21-Aug-16,08:00:00,1.27
21-Aug-16,16:00:00,1.27
22-Aug-16,08:00:00,1.27
22-Aug-16,16:00:00,1.26
23-Aug-16,08:00:00,1.26
23-Aug-16,16:00:00,1.26
24-Aug-16,08:00:00,1.26
24-Aug-16,16:00:00,1.26
25-Aug-16,08:00:00,1.26
25-Aug-16,16:00:00,1.26
26-Aug-16,08:00:00,1.25
26-Aug-16,16:00:00,1.25
27-Aug-16,08:00:00,1.24
27-Aug-16,16:00:00,1.24
28-Aug-16,08:00:00,1.24
28-Aug-16,16:00:00,1.25
29-Aug-16,08:00:00,1.25
29-Aug-16,16:00:00,1.25
30-Aug-16,08:00:00,1.25
30-Aug-16,16:00:00,1.25
31-Aug-16,08:00:00,1.25
31-Aug-16,16:00:00,1.26
01-Sep-16,08:00:00,1.26
01-Sep-16,16:00:00,1.26
02-Sep-16,08:00:00,1.27
02-Sep-16,16:00:00,1.27
03-Sep-16,08:00:00,1.28
03-Sep-16,16:00:00,1.28
04-Sep-16,08:00:00,1.27
04-Sep-16,16:00:00,1.27
05-Sep-16,08:00:00,1.27
05-Sep-16,16:00:00,1.27
06-Sep-16,08:00:00,1.28
06-Sep-16,16:00:00,1.28
07-Sep-16,08:00:00,1.28
07-Sep-16,16:00:00,1.28
08-Sep-16,08:00:00,1.28
08-Sep-16,16:00:00,1.28
09-Sep-16,08:00:00,1.28
09-Sep-16,16:00:00,1.29
10-Sep-16,08:00:00,1.29
10-Sep-16,16:00:00,1.29
11-Sep-16,08:00:00,1.28
11-Sep-16,16:00:00,1.28
12-Sep-16,08:00:00,1.28
12-Sep-16,16:00:00,1.28
13-Sep-16,08:00:00,1.27
13-Sep-16,16:00:00,1.27
14-Sep-16,08:00:00,1.27
14-Sep-16,16:00:00,1.26
15-Sep-16,08:00:00,1.26
15-Sep-16,16:00:00,1.25
16-Sep-16,08:00:00,1.25
16-Sep-16,16:00:00,1.25
17-Sep-16,08:00:00,1.26
17-Sep-16,16:00:00,1.26
18-Sep-16,08:00:00,1.26
18-Sep-16,16:00:00,1.26
19-Sep-16,08:00:00,1.26
19-Sep-16,16:00:00,1.26
20-Sep-16,08:00:00,1.26
20-Sep-16,16:00:00,1.28
21-Sep-16,08:00:00,1.28
21-Sep-16,16:00:00,1.29
22-Sep-16,08:00:00,1.29
22-Sep-16,16:00:00,1.29
23-Sep-16,08:00:00,1.29
23-Sep-16,16:00:00,1.28
24-Sep-16,08:00:00,1.28
24-Sep-16,16:00:00,1.28
25-Sep-16,08:00:00,1.28
25-Sep-16,16:00:00,1.28
26-Sep-16,08:00:00,1.29
26-Sep-16,16:00:00,1.29
27-Sep-16,08:00:00,1.29
27-Sep-16,16:00:00,1.3
28-Sep-16,08:00:00,1.3
28-Sep-16,16:00:00,1.3
29-Sep-16,08:00:00,1.31
29-Sep-16,16:00:00,1.32
30-Sep-16,08:00:00,1.32
30-Sep-16,16:00:00,1.3
01-Oct-16,08:00:00,1.31
01-Oct-16,16:00:00,1.31
02-Oct-16,08:00:00,1.31
02-Oct-16,16:00:00,1.31
03-Oct-16,08:00:00,1.3
03-Oct-16,16:00:00,1.3
04-Oct-16,08:00:00,1.3
04-Oct-16,16:00:00,1.3
05-Oct-16,08:00:00,1.31
05-Oct-16,16:00:00,1.33
06-Oct-16,08:00:00,1.36
06-Oct-16,16:00:00,1.38
07-Oct-16,08:00:00,1.39
07-Oct-16,16:00:00,1.4
08-Oct-16,08:00:00,1.41
08-Oct-16,16:00:00,1.42
09-Oct-16,08:00:00,1.43
09-Oct-16,16:00:00,1.43
10-Oct-16,08:00:00,1.43
10-Oct-16,16:00:00,1.44
11-Oct-16,08:00:00,1.44
11-Oct-16,16:00:00,1.43
12-Oct-16,08:00:00,1.43
12-Oct-16,16:00:00,1.42
13-Oct-16,08:00:00,1.39
13-Oct-16,16:00:00,1.37
14-Oct-16,08:00:00,1.35
14-Oct-16,16:00:00,1.33
15-Oct-16,08:00:00,1.33
15-Oct-16,16:00:00,1.32
16-Oct-16,08:00:00,1.31
16-Oct-16,16:00:00,1.3
17-Oct-16,08:00:00,1.3
17-Oct-16,16:00:00,1.3
18-Oct-16,08:00:00,1.3
18-Oct-16,16:00:00,1.3
19-Oct-16,08:00:00,1.3
19-Oct-16,16:00:00,1.29
20-Oct-16,08:00:00,1.28
20-Oct-16,16:00:00,1.28
21-Oct-16,08:00:00,1.28
21-Oct-16,16:00:00,1.28
22-Oct-16,08:00:00,1.28
22-Oct-16,16:00:00,1.28
23-Oct-16,08:00:00,1.27
23-Oct-16,16:00:00,1.27
24-Oct-16,08:00:00,1.26
24-Oct-16,16:00:00,1.26
25-Oct-16,08:00:00,1.26
25-Oct-16,16:00:00,1.26
26-Oct-16,08:00:00,1.26
26-Oct-16,16:00:00,1.26
27-Oct-16,08:00:00,1.26
27-Oct-16,16:00:00,1.26
28-Oct-16,08:00:00,1.26
28-Oct-16,16:00:00,1.26
29-Oct-16,08:00:00,1.27
29-Oct-16,16:00:00,1.27
30-Oct-16,08:00:00,1.27
30-Oct-16,16:00:00,1.25
31-Oct-16,08:00:00,1.24
31-Oct-16,16:00:00,1.24
01-Nov-16,08:00:00,1.24
01-Nov-16,16:00:00,1.24
02-Nov-16,08:00:00,1.24
02-Nov-16,16:00:00,1.24
03-Nov-16,08:00:00,1.26
03-Nov-16,16:00:00,1.26
04-Nov-16,08:00:00,1.27
04-Nov-16,16:00:00,1.27
05-Nov-16,08:00:00,1.27
05-Nov-16,16:00:00,1.28
06-Nov-16,08:00:00,1.28
06-Nov-16,16:00:00,1.28
07-Nov-16,08:00:00,1.29
07-Nov-16,16:00:00,1.29
08-Nov-16,08:00:00,1.29
08-Nov-16,16:00:00,1.3
09-Nov-16,08:00:00,1.29
